month,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,rh_extremes_minimum,mean_rh,mean_sunshine_hrs,mean_temp,temp_mean_daily_max,temp_mean_daily_min
1982-01,36.5,10,107.1,49,81.2,5.6,25.9,29.8,23.3
1982-02,9.4,5,27.8,49,79.5,7.6,27.1,32.3,23.9
1982-03,61.7,11,160.8,51,82.3,5.1,27.2,31.7,24.3
1982-04,45.1,14,157.0,54,85.9,4.7,27.0,31.4,24.3
1982-05,33.0,10,102.2,57,83.2,5.8,28.0,31.7,25.2
1982-06,20.6,8,59.5,53,80.3,7.3,28.4,31.9,26.0
1982-07,17.2,8,76.3,38,77.6,7.6,28.2,31.6,25.5
1982-08,57.7,11,169.5,52,80.4,5.4,27.7,31.1,25.0
1982-09,18.0,9,54.1,49,80.6,5.2,27.9,31.4,25.3
1982-10,10.0,10,39.3,49,81.5,5.6,27.4,32.1,24.3
1982-11,39.6,13,134.0,47,83.4,5.8,27.3,32.4,24.5
1982-12,109.0,21,494.1,56,87.7,3.3,26.2,29.9,23.9
1983-01,43.2,18,246.0,53,85.6,4.3,26.5,30.3,24.0
1983-02,5.1,2,5.6,41,78.0,9.3,28.1,33.1,24.8
1983-03,18.3,2,18.6,40,76.0,8.9,28.9,34.4,25.4
1983-04,21.3,4,33.6,39,77.2,6.6,29.4,34.3,26.3
1983-05,32.3,11,160.8,58,83.2,5.9,28.3,32.5,25.2
1983-06,27.7,11,94.0,51,82.4,5.9,28.3,31.9,25.3
1983-07,55.5,18,190.0,54,83.7,5.4,27.6,31.0,24.9
1983-08,181.8,10,262.2,44,81.2,6.3,28.1,31.5,25.6
1983-09,50.3,18,170.8,55,84.4,3.8,27.2,31.1,24.6
1983-10,40.0,17,212.7,47,82.5,5.2,27.6,31.5,24.7
1983-11,54.8,18,228.8,49,85.2,3.2,26.6,30.5,24.0
1983-12,164.4,16,370.6,57,88.0,2.7,25.4,28.9,23.3
1984-01,62.3,18,251.2,55,85.8,4.1,25.5,29.5,22.9
1984-02,154.4,19,470.4,58,86.0,4.1,25.8,30.0,23.4
1984-03,119.4,19,361.3,56,85.4,5.3,26.5,30.8,23.8
1984-04,38.7,17,153.1,55,83.8,6.2,27.3,31.3,24.5
1984-05,46.0,12,186.5,54,84.1,6.4,27.3,31.3,24.5
1984-06,121.1,14,255.0,52,83.1,5.4,27.5,31.1,24.7
1984-07,49.2,12,127.2,55,83.7,5.7,27.2,30.7,24.7
1984-08,22.5,13,102.7,60,84.1,6.0,27.4,31.2,24.3
1984-09,46.5,17,186.7,49,83.9,4.9,26.8,30.9,23.7
1984-10,47.2,11,187.5,53,82.5,5.3,27.4,31.6,24.3
1984-11,35.4,17,127.7,58,86.3,4.3,26.5,31.0,24.0
1984-12,58.4,22,277.4,58,86.7,3.3,26.0,30.0,23.6
1985-01,35.5,7,111.1,49,81.5,8.7,26.6,31.2,23.6
1985-02,18.7,11,79.3,51,84.0,6.5,27.0,32.1,24.1
1985-03,23.8,13,88.0,56,83.9,5.6,27.1,31.8,24.2
1985-04,29.3,14,110.5,55,83.8,5.5,27.5,32.2,24.4
1985-05,36.2,12,70.1,55,83.4,5.7,28.0,31.8,25.2
1985-06,9.9,14,37.0,43,79.4,5.8,28.2,32.1,25.1
1985-07,32.2,17,131.8,50,83.1,5.3,27.0,30.8,23.9
1985-08,21.4,11,56.9,53,80.4,6.2,27.7,31.5,25.1
1985-09,22.0,18,110.7,48,83.1,5.0,26.9,30.9,24.0
1985-10,30.2,21,169.0,43,84.7,4.1,26.7,30.6,23.9
1985-11,38.2,21,179.4,54,85.0,4.1,26.6,31.1,23.8
1985-12,86.8,22,340.1,56,86.2,4.6,26.1,30.2,23.7
1986-01,95.6,13,308.2,55,83.9,3.9,25.7,29.3,23.4
1986-02,23.0,2,26.7,48,78.4,7.2,26.9,31.9,23.9
1986-03,71.1,17,353.4,55,86.6,4.6,26.4,30.5,24.1
1986-04,56.4,14,150.0,54,85.3,6.2,27.4,31.7,24.7
1986-05,51.3,13,145.1,48,81.8,6.1,28.2,31.8,25.4
1986-06,34.5,13,122.9,50,82.5,6.8,27.9,31.6,25.3
1986-07,23.5,12,109.7,48,79.9,6.2,27.9,31.5,25.0
1986-08,28.4,11,72.9,40,77.3,5.6,28.3,31.9,25.2
1986-09,97.6,22,396.0,54,84.4,4.8,26.7,30.6,23.6
1986-10,65.6,20,227.3,57,85.0,5.0,26.9,30.9,24.3
1986-11,40.5,21,256.7,53,84.1,4.5,26.6,30.9,24.1
1986-12,131.7,16,367.2,55,85.2,5.4,26.3,30.3,23.9
1987-01,127.4,16,568.6,56,86.0,4.0,25.5,28.8,23.4
1987-02,34.8,7,86.9,47,79.0,9.2,26.6,31.6,23.7
1987-03,40.9,12,132.5,50,83.2,6.9,27.5,32.1,24.8
1987-04,27.7,10,72.5,51,82.8,6.2,27.9,32.6,25.1
1987-05,81.4,16,270.0,59,84.6,5.6,27.6,31.7,25.0
1987-06,30.7,15,126.6,47,80.7,6.8,28.7,32.4,26.0
1987-07,21.6,11,80.9,55,81.3,6.7,28.1,31.6,25.4
1987-08,48.2,16,191.9,57,83.6,5.1,27.4,31.1,25.0
1987-09,44.5,11,129.9,51,82.5,5.4,27.6,31.7,24.6
1987-10,5.9,9,22.6,49,82.1,5.8,27.9,32.5,25.2
1987-11,77.7,17,347.6,54,84.0,4.5,27.3,31.7,24.3
1987-12,24.3,11,72.8,57,84.6,4.8,26.4,30.4,24.2
1988-01,69.0,15,237.5,57,84.3,5.9,26.8,30.8,24.5
1988-02,46.7,9,158.1,55,83.2,6.7,27.1,32.0,24.6
1988-03,70.1,15,186.8,45,85.3,5.2,27.3,31.3,24.8
1988-04,22.8,13,109.6,54,84.5,5.4,27.8,32.4,25.2
